Func Code,Function Description,Employment Status,Job Category,Line No,Salary Band,Hispanic/Latino Male,Hispanci/Latino Female,"Non Hispanic/Latino - Male, White","NonHispanic/Latino - Male, Black","NonHispanic/Latino - Male, Asian","NonHispanic/Latino - Male, NHOPI","NonHispanic/Latino - Male, Amer Ind","NonHispanic/Latino - Male, 2+ Races","Non Hispanic/Latino - Female, White","NonHispanic/Latino - Female, Black","NonHispanic/Latino - Female, Asian","NonHispanic/Latino - Female, NHOPI","NonHispanic/Latino - Female, Amer Ind","NonHispanic/Latino - Female, 2+ Races",Total,FY
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,156,82,261,115,60,,2,1,60,48,10,,,4,799,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,67,22,156,31,23,,,2,40,30,4,,,1,376,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,222,16,565,152,61,,4,11,17,22,4,,,1,1075,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,325,6,838,251,76,2,4,13,16,18,1,,,,1550,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,829,13,4334,511,106,1,16,27,20,12,,,,,5869,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,1,,,1,,,,,,,1,,,,3,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,2,3,2,1,,,,,3,8,,,1,,20,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,2,4,1,,,,,1,5,8,1,,,3,25,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,,,1,1,,,,,2,2,,,,,6,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,2,2,2,6,1,,,,1,10,,,,,24,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,15,21,17,11,3,1,1,,20,45,3,,,1,138,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,18,27,72,14,2,,,1,20,49,2,,3,4,212,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,3,6,30,6,6,,,,11,9,1,,,2,74,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,5,,6,5,4,1,1,,,1,,,,1,24,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,1,,1,1,,,,,,,,,,,3,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,61,,195,41,31,,,5,1,2,1,,,,337,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,,,,1,,,,,,,,,,,1,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,1,,4,5,1,,,,,2,,,,,13,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,3,,3,5,,,,,,,,,,,11,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,6,,5,2,,,,,,,,,,,13,2021
5,FIRE PROTECTION,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,2624,516,10027,1667,611,6,40,120,595,607,101,2,6,34,16956,2021
5,FIRE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,,,24,3,2,,,1,13,,,,,,43,2021
5,FIRE PROTECTION,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,0,0,24,3,2,0,0,1,13,0,0,0,0,0,43,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,1,1,7,2,4,,,,4,1,5,,,,25,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,3,1,8,4,9,,,,13,5,3,,,,46,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,57,18,87,16,10,,1,6,15,7,2,,,2,221,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,PROTECT/SRVCS,78,,29,2,81,14,3,,1,2,1,,,,,,133,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,,,,,,,,,1,,,,,,1,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,2,,7,2,3,,,,,,,,,,14,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,2,,,2,,,,,,,,,,,4,2021
5,FIRE PROTECTION,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,94,22,190,40,29,0,2,8,34,13,10,0,0,2,444,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,6,43.0-54.9,,,1,,,,,,,,,,,,1,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,2,2,3,5,1,,,1,2,5,,,,,21,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,18,15,98,22,15,,1,,51,22,13,,,2,257,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,22,10,25,45,1,,,1,15,22,3,,,,144,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,15,19,38,38,10,,,2,28,26,11,,1,3,191,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,44,33,198,60,68,,3,5,134,46,36,2,2,3,634,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,1,,,2,,,,,,,,,,,3,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,,1,,2,,,,,,,,,,,3,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,,1,1,,,,,,,1,,,,,3,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,29,33.0-42.9,11,2,1,2,1,,,1,,,,,,,18,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,68,25,41,48,13,1,,2,28,24,6,,,2,258,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,25,12,22,18,5,,,2,14,27,,1,,1,127,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,1,,3,,,,,,1,,,,,,5,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,,,1,2,,,,,1,2,,,,,6,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,5,13,7,6,8,,,3,10,12,4,,,,68,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,19,39,44,28,4,,,1,32,42,10,1,,3,223,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,18,34,50,22,7,,,2,36,32,8,,,2,211,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,,,,,,,,,,2,,,,,2,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,2,5,2,6,1,,,,8,21,1,,,,46,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,2,10,4,3,,,,,6,24,2,,,1,52,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,2,7,5,2,1,,,1,10,7,2,,,1,38,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,,,1,1,,,,1,,,,,,,3,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,2,,,3,,,,,,,,,,,5,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,19,,33,12,5,,1,,,,,,,,70,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,28,2,174,22,12,,,4,2,,,,,,244,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SERV/MAINT,60,25.0-32.9,1,,,1,,,,,,,,,,,2,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,75,49,46,196,4,,,1,10,87,,,1,1,470,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,112,43,74,167,15,,3,5,14,79,2,,,1,515,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,37,5,72,24,7,,,1,8,7,,,,,161,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,84,27,98,131,3,,2,5,18,66,,,1,1,436,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,613,354,1042,868,181,1,10,38,428,554,98,4,5,21,4217,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,1,,1,,,,,,,,,,,,2,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,12,7,8,9,6,,,,6,3,4,,,,55,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,PROTECT/SRVCS,69,,198,62,250,71,42,,2,9,147,27,13,,,3,824,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,2,5,10,3,1,,,1,15,4,1,,,1,43,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,1,1,,,,,,,1,8,1,,,,12,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,SKILLED CRAFT,72,,7,,44,11,1,,,,1,,,,,,64,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,SERV/MAINT,73,,307,298,161,1112,23,1,19,54,63,1139,19,4,10,40,3250,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,528,373,474,1206,73,1,21,64,233,1181,38,4,10,44,4250,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,1,1,5,1,1,,,,,1,,,,,10,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,4,6,10,7,1,,,,8,2,3,,,1,42,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,PROTECT/SRVCS,78,,89,24,70,46,16,,1,8,48,23,3,1,,2,331,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,6,5,13,7,1,,,1,10,5,2,,,1,51,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,1,2,,,,,,,1,10,1,,,,15,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,28,1,70,24,2,,,2,,,,,,,127,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,389,346,207,1334,35,1,25,67,79,1399,19,7,11,52,3971,2021
6,"NATURAL RESOURCES, PARKS AND RECREATION",3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,518,385,375,1419,56,1,26,78,146,1440,28,8,11,56,4547,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,1,7,,2,,,,1,5,7,,,,,23,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,24,47,76,37,50,1,1,6,132,111,46,,,7,538,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,3,,2,1,2,,,1,1,7,2,,,1,20,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,15,82,7,48,13,,,,40,216,34,,5,4,464,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,31,102,29,55,49,,,2,77,211,64,1,3,11,635,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,104,281,228,133,181,2,1,11,708,828,390,3,4,38,2912,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,TECHNICIANS,21,33.0-42.9,2,2,1,5,,,,1,1,5,,,,1,18,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,17,21,13,50,27,,,4,10,41,14,,,2,199,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,16,15,28,78,37,1,1,3,12,95,32,,,7,325,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,4,3,9,15,6,,,1,6,25,5,,,1,75,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,29,33.0-42.9,6,2,2,10,,,,,,11,,,,,31,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,30,43.0-54.9,1,1,1,7,,,,,,9,,,,1,20,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,31,55.0-69.9,9,2,3,11,1,,,1,2,9,,,,,38,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PROTECT/SRVCS,32,70.0 PLUS,2,3,2,1,1,,,,,3,,,,,12,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PARA-PROF,36,25.0-32.9,,,,1,,,,,,,,,,,1,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,8,39,4,15,1,,,2,11,60,4,,,2,146,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,5,25,4,15,,,1,,5,28,8,1,1,1,94,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,22,46,7,22,10,,,5,14,67,16,1,,3,213,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,12,21,4,5,8,,,1,20,32,3,,,,106,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,3,20,8,11,3,,,1,6,53,4,,,1,110,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,9,33,3,20,7,,,,11,117,12,1,,4,217,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,5,41,3,10,8,,,1,8,87,6,,,2,171,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,2,13,1,2,,,,,1,26,3,,,1,49,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,,,2,,,,,,,,,,,,2,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,,,1,,,,,,,,,,,,1,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,5,,2,5,,,1,,,,,,,,13,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,3,,24,,3,,,3,,,,,,,33,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SERV/MAINT,60,25.0-32.9,1,,,,,,,,,2,,,,,3,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SERV/MAINT,61,33.0-42.9,9,3,2,18,2,,,,,2,,,,,36,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SERV/MAINT,62,43.0-54.9,40,5,9,59,5,,1,,2,8,3,,,,132,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SERV/MAINT,63,55.0-69.9,2,,1,3,2,,,,,,,,,,8,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,SERV/MAINT,64,70.0 PLUS,4,,6,6,,,,,,1,,,,,17,2021
8,HEALTH,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,365,814,482,645,416,4,6,44,1072,2061,646,7,13,87,6662,2021
8,HEALTH,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,4,17,8,3,10,,,,76,35,34,,,3,190,2021
8,HEALTH,2. OTHER THAN FULL-TIME EMPLOYEES,TECHNICIANS,68,,1,1,,3,,,,,1,5,,,,,11,2021
8,HEALTH,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,22,115,11,33,44,,1,1,18,185,71,1,1,4,507,2021
8,HEALTH,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,,1,,,,,,,,1,,,,1,3,2021
8,HEALTH,2. OTHER THAN FULL-TIME EMPLOYEES,SERV/MAINT,73,,,,,2,,,,,,,,,,,2,2021
8,HEALTH,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,27,134,19,41,54,0,1,1,95,226,105,1,1,8,713,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,,1,10,,7,,1,,8,5,4,,,,36,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,6,50,18,14,15,,,2,97,111,58,1,1,11,384,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,3,2,3,15,13,,,4,4,15,5,,,1,65,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,PROTECT/SRVCS,78,,,,,,,,,,,2,,,,,2,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,3,13,3,10,2,,,,6,13,6,,,1,57,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,ADMIN SUPPORT,80,,,,,,,,,,,1,,,,,1,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,2,,,,,,,,,,,,,,2,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,SERV/MAINT,82,,,,1,2,,,,,,,1,,,,4,2021
8,HEALTH,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,14,66,35,41,37,0,1,6,115,147,74,1,1,13,551,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,7,55.0-69.9,8,8,15,13,10,,,1,6,15,3,,,,79,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,30,19,128,64,54,,1,5,71,30,24,,,3,429,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PROFESSIONALS,13,33.0-42.9,3,,,,1,,,,,1,,,,,5,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PROFESSIONALS,14,43.0-54.9,16,7,24,21,18,,2,3,8,8,1,,,2,110,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,119,37,209,220,120,,6,12,48,47,28,,1,4,851,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,103,64,323,161,138,,1,6,156,176,86,,,5,1219,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,3,1,1,3,1,,,,1,4,,,,,14,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,,4,3,4,1,,,,,4,1,,,,17,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,TECHNICIANS,24,70.0 PLUS,1,2,,,,,,,,,,,,,3,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PARA-PROF,36,25.0-32.9,1,,,,,,,,,1,,,,,2,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PARA-PROF,37,33.0-42.9,5,22,5,12,1,,,3,3,27,5,,,4,87,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,12,55,6,34,4,,,,10,77,10,,1,1,210,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,30,49,15,30,4,,,4,8,84,8,,,2,234,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,7,19,11,8,4,,,2,16,24,4,,,,95,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,44,25.0-32.9,,,,,,,,,1,8,,,,,9,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,45,33.0-42.9,6,21,3,13,4,,,,10,67,11,,,1,136,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,2,20,5,14,2,,1,1,11,100,7,,1,3,167,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,8,29,4,9,3,,,1,15,74,5,,,,148,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,3,6,1,3,2,,,,6,30,4,,1,,56,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,53,33.0-42.9,,,,2,,,,,,,,,,,2,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,54,43.0-54.9,3,,2,1,,,,,,,,,,,6,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,55,55.0-69.9,2,,1,,1,,,,,,,,,,4,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,SKILLED CRAFT,56,70.0 PLUS,1,,10,3,1,,,,,,,,,,15,2021
9,HOUSING,1. FULL-TIME EMPLOYEES,TOTAL FULL TIME,65,,363,363,766,615,369,0,11,38,370,777,197,0,4,25,3898,2021
9,HOUSING,2. OTHER THAN FULL-TIME EMPLOYEES,OFFICIAL/ADM,66,,,1,,,,,,,,,,,,,1,2021
9,HOUSING,2. OTHER THAN FULL-TIME EMPLOYEES,PROFESSIONALS,67,,,1,1,,,,,,3,,,,,,5,2021
9,HOUSING,2. OTHER THAN FULL-TIME EMPLOYEES,PARA-PROF,70,,3,7,5,4,6,,,1,3,7,3,,,2,41,2021
9,HOUSING,2. OTHER THAN FULL-TIME EMPLOYEES,ADMIN SUPPORT,71,,,,,,,,,,,1,,,,,1,2021
9,HOUSING,2. OTHER THAN FULL-TIME EMPLOYEES,TOTAL OTHER THAN F-T,74,,3,9,6,4,6,0,0,1,6,8,3,0,0,2,48,2021
9,HOUSING,3. NEW HIRES DURING FISCAL YEAR,OFFICIAL/ADM,75,,2,1,10,3,10,,,1,6,2,3,,,1,39,2021
9,HOUSING,3. NEW HIRES DURING FISCAL YEAR,PROFESSIONALS,76,,34,10,76,44,31,,5,5,12,7,9,,,3,236,2021
9,HOUSING,3. NEW HIRES DURING FISCAL YEAR,TECHNICIANS,77,,,1,,1,,,,,,1,,,,,3,2021
9,HOUSING,3. NEW HIRES DURING FISCAL YEAR,PARA-PROF,79,,2,4,4,4,,,,1,3,3,2,,,1,24,2021
9,HOUSING,3. NEW HIRES DURING FISCAL YEAR,SKILLED CRAFT,81,,,,,,1,,,,,,,,,,1,2021
9,HOUSING,3. NEW HIRES DURING FISCAL YEAR,TOTAL NEW HIRES,83,,38,16,90,52,42,0,5,7,21,13,14,0,0,5,303,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,OFFICIAL/ADM,8,70.0 PLUS,3,6,29,3,3,,,,23,4,5,,,1,77,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,PROFESSIONALS,15,55.0-69.9,7,2,16,6,3,,,,20,4,12,,,3,73,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,PROFESSIONALS,16,70.0 PLUS,8,5,49,5,13,,,,38,10,16,,,1,145,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,TECHNICIANS,22,43.0-54.9,,,,1,,,,,,,,,,,1,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,TECHNICIANS,23,55.0-69.9,,,1,,,,,,,,,,,,1,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,PARA-PROF,38,43.0-54.9,1,,1,2,,,,1,1,2,,,,,8,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,PARA-PROF,39,55.0-69.9,2,2,6,3,,,,,7,4,1,,,,25,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,PARA-PROF,40,70.0 PLUS,,1,4,1,,,,1,5,1,1,,,,14,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,46,43.0-54.9,1,1,,,,,,,,2,,,,,4,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,47,55.0-69.9,2,2,,,,,,,2,3,1,,,,10,2021
10,COMMUNITY DEVELOPMENT,1. FULL-TIME EMPLOYEES,ADMIN SUPPORT,48,70.0 PLUS,,1,,,,,,,,1,,,,,2,2021
